sgRNA_ID,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation,True_OffTarget_Matches,High_Risk_Sites_Count,Max_True_OffTarget_Score,Cumulative_OffTarget_Risk
sgRNA_72,49.24055928,22.00707368134128,28.43771522401377,4.042913060371473,27,4,0.5352941174,0.97254245075193
sgRNA_24,75.64290448,35.14730214877022,38.81498056096165,4.221247967594203,196,34,0.7272727272000001,0.9999999999884618
sgRNA_113,16.8951698,22.82149284757413,34.822765573036406,10.331703728214393,48,11,0.6293706292552448,0.9993621303982618
sgRNA_27,74.83817725,17.137326888204612,17.783688096424065,0.92005287105666,99,20,0.5727272724,0.99999759164232
sgRNA_78,48.03212837,33.7357568582655,37.94399587864139,3.592942360335919,354,67,0.772058823375,1.0
sgRNA_128,10.33539005,27.4554400920968,35.68902506624585,6.994638625801333,178,38,0.857142857,0.9999999999999524
sgRNA_22,75.92480291,15.58755662074642,24.33093765028763,4.528414346469356,281,43,0.7819548874323309,0.9999999999999998
sgRNA_39,72.20550723,35.98408004917694,41.41680631785965,4.100802832210686,94,10,0.3605042021092438,0.9999106685152082
sgRNA_65,54.08968701,26.6990738526622,33.69071629749131,5.030618293169666,62,6,0.5389030617219389,0.9964202554784356
sgRNA_23,75.90082749,20.19655727296573,28.90933361500517,4.938791933348992,64,14,0.6363636363,0.9999644381006988
sgRNA_55,59.92324815,20.05937005155213,36.36321889751733,8.75871804068115,307,37,0.6632653061632654,0.999999999999906
sgRNA_71,49.5373203,28.92717714858665,36.21175165061822,3.7269253002826295,87,9,0.4556372544845588,0.9997773142565588
sgRNA_107,19.98277245,38.595490876632944,41.01357768091008,1.3562562068947943,209,42,0.6035714290318454,0.999999999999758
sgRNA_76,48.36430486,16.02016767891527,23.729528189901263,4.966476060584438,232,29,0.45818181792,0.9999999996760566
sgRNA_7,80.41990317,34.31457412441089,35.51272043404998,1.260041604837949,130,14,0.529666412157372,0.9999969412940888
sgRNA_9,79.55045299,29.271426095765243,37.404326614630925,5.143795422046512,25,3,0.4518402777461806,0.9495148960339568
sgRNA_116,14.60280374,27.25269317924537,34.03963370258801,7.068909736582311,1084,90,0.6875,1.0
sgRNA_4,82.1773221,25.53415038617885,33.90541077990721,6.1665346535150825,55,15,0.7142857140000001,0.9999909867188452
sgRNA_112,17.10280194,34.69994651388366,38.87339510911134,4.066890832695682,142,21,0.7688787181716247,0.9999999334684576
sgRNA_44,70.88069156,37.33827191015465,40.736379624860376,1.969718719627903,37,4,0.3011764703852997,0.9538840517360978
sgRNA_117,14.49360865,20.483637994700903,29.243086772770766,7.332777635561997,52,9,0.6373063975052932,0.999077200337789
sgRNA_106,20.0829496,34.40848383977098,38.24506989749786,4.601752216264741,10,1,0.3626373623498168,0.5553001756526209
sgRNA_146,0.228219442,37.79595966101795,42.88852141691164,3.5752121457886825,273650,113758,1.0,1.0
sgRNA_125,11.70228337,35.89597156379064,38.33557348255897,3.13953125753885,65,11,0.603571429082143,0.9997769644486034
sgRNA_83,45.55876192,34.747618192518125,39.4177133463415,3.260863057981958,32,1,0.2654166667614583,0.9327130045624896
sgRNA_95,30.46450092,25.75042082561689,37.97956499013438,6.765068795327319,155,17,0.6588235296999999,0.99999986655269
sgRNA_135,6.369607418,22.4795812216967,32.99240686887826,7.393792991287322,337,40,0.6554621854632353,1.0
sgRNA_31,73.78683695,18.751061871374027,25.482382367473825,4.888949976521206,37,6,0.2857142857564627,0.9912594209222104
sgRNA_36,72.5697061,17.889877411096116,20.861377444323693,2.99111660973826,225,81,0.7218045110225564,1.0
sgRNA_41,72.06744497,14.818551774135411,24.381303944647247,5.461318357726775,75,5,0.3296703295567765,0.9983102044036865
sgRNA_13,78.67165575,14.083480090600087,21.43893175234448,3.875186912616679,34,6,0.3891156462578231,0.9823107121462182
sgRNA_85,42.04692971,34.318278388482945,38.85375433793182,2.9422283717054816,233,43,0.5460000002100001,0.9999999999999872
sgRNA_129,10.0,21.85995350465224,30.625775471563607,4.705785660946335,49,3,0.3972222222402777,0.9818398226572542
sgRNA_104,23.88601361,21.509149529112165,31.187991859736268,8.336626339242995,289,68,0.4999999996214285,1.0
sgRNA_63,55.38053097,25.29166317683185,37.44070275253733,7.914739730682803,101,23,0.7642636003414417,0.9999998504339552
sgRNA_16,77.57464424,19.11817034299716,37.03319851601542,9.658867363960114,171,20,0.5051020411122448,0.999999995207612
sgRNA_108,19.83393984,36.00564161314607,40.61577089702502,2.7619089315159,49,14,0.42613636359375,0.9997007337241242
sgRNA_56,59.27050765,9.648367267027194,13.728983850196178,2.216357040771364,149,27,0.7428571432000002,0.9999999997706718
sgRNA_150,-0.220296572,34.46429925748129,39.1290694643397,2.955749696384716,1922,282,0.7142857140000001,1.0
