sgRNA,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation
sgRNA_102,26.54594023,36.77589206411617,41.45694081278157,3.6709732118172846
sgRNA_45,70.40101515,23.352398136825563,28.22220950698596,2.462011981120128
sgRNA_74,48.98580022,35.4788801050572,40.51318213507977,3.055473554431451
sgRNA_80,47.56828781,19.032863336266395,30.069886298927365,8.367835333263708
sgRNA_6,80.82584968,23.56156969901436,25.229255654203868,1.175689850672072
sgRNA_72,49.24055928,22.00707368134128,28.43771522401377,4.042913060371473
sgRNA_24,75.64290448,35.14730214877022,38.81498056096165,4.221247967594203
sgRNA_113,16.8951698,22.821492847574135,34.822765573036406,10.331703728214393
sgRNA_27,74.83817725,17.137326888204612,17.783688096424065,0.92005287105666
sgRNA_78,48.03212837,33.7357568582655,37.94399587864139,3.592942360335919
sgRNA_128,10.33539005,27.4554400920968,35.68902506624585,6.994638625801333
sgRNA_22,75.92480291,15.58755662074642,24.33093765028763,4.528414346469356
sgRNA_39,72.20550723,35.98408004917694,41.41680631785965,4.100802832210686
sgRNA_65,54.08968701,26.6990738526622,33.69071629749131,5.030618293169666
sgRNA_23,75.90082749,20.19655727296573,28.90933361500517,4.938791933348992
sgRNA_55,59.92324815,20.05937005155213,36.36321889751733,8.75871804068115
sgRNA_71,49.5373203,28.92717714858665,36.21175165061822,3.7269253002826295
sgRNA_107,19.98277245,38.595490876632944,41.01357768091008,1.3562562068947943
sgRNA_76,48.36430486,16.02016767891527,23.729528189901263,4.966476060584438
sgRNA_7,80.41990317,34.31457412441089,35.51272043404998,1.260041604837949
sgRNA_9,79.55045299,29.271426095765243,37.404326614630925,5.143795422046512
sgRNA_116,14.60280374,27.25269317924537,34.03963370258801,7.068909736582311
sgRNA_4,82.1773221,25.534150386178855,33.90541077990721,6.1665346535150825
sgRNA_112,17.10280194,34.69994651388366,38.87339510911134,4.066890832695682
sgRNA_44,70.88069156,37.33827191015465,40.736379624860376,1.969718719627903
sgRNA_117,14.49360865,20.483637994700903,29.243086772770766,7.332777635561997
sgRNA_106,20.0829496,34.40848383977098,38.24506989749786,4.601752216264741
sgRNA_146,0.228219442,37.79595966101795,42.88852141691164,3.5752121457886825
sgRNA_125,11.70228337,35.89597156379064,38.33557348255897,3.13953125753885
sgRNA_83,45.55876192,34.747618192518125,39.4177133463415,3.260863057981958
sgRNA_95,30.46450092,25.75042082561689,37.97956499013438,6.765068795327319
sgRNA_135,6.369607418,22.4795812216967,32.99240686887826,7.393792991287322
sgRNA_31,73.78683695,18.751061871374027,25.482382367473825,4.888949976521206
sgRNA_36,72.5697061,17.889877411096116,20.861377444323693,2.99111660973826
sgRNA_41,72.06744497,14.818551774135411,24.381303944647247,5.461318357726775
sgRNA_13,78.67165575,14.083480090600087,21.43893175234448,3.875186912616679
sgRNA_85,42.04692971,34.318278388482945,38.85375433793182,2.9422283717054816
sgRNA_129,10.0,21.85995350465224,30.625775471563607,4.705785660946335
sgRNA_104,23.88601361,21.509149529112165,31.187991859736268,8.336626339242995
sgRNA_63,55.38053097,25.29166317683185,37.44070275253733,7.914739730682803
sgRNA_16,77.57464424,19.11817034299716,37.03319851601542,9.658867363960114
sgRNA_108,19.83393984,36.00564161314607,40.61577089702502,2.7619089315159
sgRNA_56,59.27050765,9.648367267027194,13.728983850196178,2.216357040771364
sgRNA_150,-0.220296572,34.46429925748129,39.1290694643397,2.955749696384716
sgRNA_81,47.46587165,26.94486904369677,38.45229505709987,7.698778201031635
sgRNA_40,72.13553295,32.871548676592894,36.54868635757433,3.5484537949777555
sgRNA_54,60.37710805,15.8642015514119,28.68271345392184,8.191604206552224
sgRNA_122,12.40030384,35.45170136769373,41.22918295827272,3.2021324213475317
sgRNA_99,27.40170486,29.12303718537846,34.921679799937,3.925254731172216
sgRNA_139,2.868082476,36.62907403836599,38.4759155470655,1.6279279867060938
sgRNA_25,75.54410053,37.97097097084456,40.55618872155173,1.4746774755470535
sgRNA_82,46.90551015,29.38667336642793,37.73414905799029,5.5742365635429225
sgRNA_110,18.98903618,21.88657788499102,26.338364049961804,2.8792568512574777
sgRNA_145,0.264034599,19.222381987330493,35.390304914002606,10.75373863218702
sgRNA_51,64.10457782,14.935870272819852,28.688701030575924,7.638602675022696
sgRNA_142,0.878795861,19.22681464931993,34.09977747437453,8.629075935135148
sgRNA_37,72.33921457,31.13489970527406,36.4386839522455,5.736506381609891
sgRNA_21,76.49038874,28.61283629405765,32.31943677187793,3.7306624567005735
sgRNA_70,49.59139542,33.52032001872848,37.48344569857768,3.19531112797424
sgRNA_94,34.31708991,21.833306207597165,30.245138486049736,4.778616212492216
sgRNA_29,73.97313709,34.54107926859941,35.81200309198673,0.8340924420090655
sgRNA_68,50.84945089,25.309354072453097,27.4880951288172,1.8394089912563567
sgRNA_60,56.92098417,34.57861872622188,35.49406895661023,1.4729416155859807
sgRNA_66,51.3335178,30.44272551640497,37.15231218865988,6.96362860806293
sgRNA_30,73.80778158,23.00015276661433,32.78893163017874,9.976999734252702
sgRNA_127,10.98679006,12.570161928228837,14.281821498940326,1.5288319893843765
