sgRNA,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation
sgRNA_53,21.53834471807083,37.74151780865591,9.449199828187652
sgRNA_54,15.8642015514119,28.682713453921842,8.191604206552224
sgRNA_55,20.05937005155213,36.36321889751733,8.75871804068115
sgRNA_56,9.648367267027194,13.728983850196178,2.216357040771364
sgRNA_57,24.185101565378584,31.99583034840133,7.623349047284305
sgRNA_58,21.954699423572713,36.82208602219164,9.04257210748053
sgRNA_59,22.220471317115276,27.946888014476897,5.107305220124124
sgRNA_60,34.578618726221876,35.49406895661023,1.4729416155859807
sgRNA_61,34.9009938507379,41.67592040670798,5.731210581789032
sgRNA_62,21.27671923744433,37.0879947642963,10.460880658148037
sgRNA_63,25.291663176831854,37.44070275253733,7.914739730682803
sgRNA_64,25.228622845059654,36.926104299605974,9.750860682043625
sgRNA_65,26.699073852662202,33.69071629749131,5.030618293169666
sgRNA_66,30.44272551640497,37.15231218865988,6.96362860806293
sgRNA_67,34.678872435660736,39.950209152509075,5.70568600142062
sgRNA_68,25.309354072453097,27.488095128817196,1.8394089912563572
sgRNA_69,17.389117248214117,32.74544090206225,9.721979733484048
sgRNA_70,33.520320018728476,37.48344569857768,3.19531112797424
sgRNA_71,28.92717714858665,36.21175165061822,3.7269253002826295
sgRNA_72,22.00707368134128,28.437715224013772,4.042913060371473
sgRNA_73,36.145009296548956,37.53067110640407,1.1455185877767577
sgRNA_74,35.4788801050572,40.51318213507977,3.055473554431451
sgRNA_75,29.522667782285403,36.39485871686349,5.767411683116753
sgRNA_76,16.02016767891527,23.729528189901266,4.966476060584438
sgRNA_77,34.826610138860474,39.696419876113175,4.074783375551645
sgRNA_78,33.7357568582655,37.94399587864139,3.592942360335919
sgRNA_79,22.280260712338823,27.189251436418093,3.6994937601442746
sgRNA_80,19.032863336266395,30.069886298927365,8.367835333263708
sgRNA_81,26.94486904369677,38.45229505709987,7.698778201031635
sgRNA_82,29.38667336642793,37.734149057990294,5.5742365635429225
sgRNA_83,34.747618192518125,39.4177133463415,3.260863057981958
sgRNA_84,19.791970788701455,31.844399243660646,8.067610179559187
sgRNA_85,34.318278388482945,38.85375433793182,2.9422283717054816
sgRNA_86,31.816432521927993,35.81731020784699,5.378976034542496
sgRNA_87,13.421494862568892,21.29924404990281,4.972183741618597
sgRNA_88,26.22077804960174,37.07399558440802,6.173756271462347
sgRNA_89,19.804007660207855,28.459306671607823,4.573450604606866
sgRNA_90,25.14768286501772,30.7874923603812,4.819450677897137
sgRNA_91,22.644706220258662,33.37275605248194,12.070928230691417
sgRNA_92,35.93277155314853,37.69099676502047,1.60475281714824
sgRNA_93,35.82614729144704,38.61136016420198,1.9343686730187966
sgRNA_94,21.833306207597165,30.245138486049736,4.778616212492216
sgRNA_95,25.750420825616892,37.97956499013438,6.765068795327319
sgRNA_96,24.68513643887848,33.13677789260119,7.284853086102252
sgRNA_97,24.95804072752758,32.4478806592283,5.949220059912878
sgRNA_98,21.38863187684759,30.847057367756577,8.529859838460485
sgRNA_99,29.12303718537846,34.921679799936996,3.925254731172216
sgRNA_100,36.0745976143104,38.208500632745356,2.050824751095861
sgRNA_101,23.155277721844715,25.765678469528016,1.9346745827592584
sgRNA_102,36.77589206411617,41.45694081278157,3.6709732118172846
sgRNA_103,25.756541061682196,36.06236925404844,7.177571455917645
sgRNA_104,21.509149529112165,31.187991859736268,8.336626339242995
sgRNA_105,13.465509969082865,22.421704998040223,4.706457253738065
sgRNA_106,34.40848383977098,38.245069897497864,4.601752216264741
sgRNA_107,38.595490876632944,41.01357768091008,1.3562562068947943
sgRNA_108,36.00564161314607,40.61577089702502,2.7619089315158996
sgRNA_109,20.821450851567484,35.68414160158045,7.876040782971428
sgRNA_110,21.88657788499102,26.338364049961804,2.8792568512574777
sgRNA_111,15.053098726086057,29.515224093024475,9.245811014499294
sgRNA_112,34.69994651388366,38.87339510911134,4.066890832695682
sgRNA_113,22.821492847574138,34.822765573036406,10.331703728214391
sgRNA_114,31.216373128691828,35.508278506521066,2.2219516585277517
sgRNA_115,23.631009441029487,33.76194035704501,7.6167648248059985
sgRNA_116,27.25269317924537,34.03963370258801,7.068909736582311
sgRNA_117,20.483637994700906,29.243086772770766,7.332777635561997
sgRNA_118,32.4087048983277,33.5492866785683,0.9900864786778089
sgRNA_119,34.41912305132065,36.45363761400404,2.270413045532313
sgRNA_120,26.645884161485434,35.013736330442114,6.263941018513106
sgRNA_121,15.452638309342237,30.38388257814353,9.137388746262543
sgRNA_122,35.45170136769373,41.229182958272716,3.2021324213475313
sgRNA_123,33.75325853977901,35.09749202312725,0.7574547139972521
sgRNA_124,36.527929774053,38.683268571558855,1.8464699987229698
sgRNA_125,35.89597156379064,38.33557348255897,3.13953125753885
sgRNA_126,35.9021476842136,38.11173599609243,2.607170359436814
sgRNA_127,12.570161928228837,14.281821498940326,1.5288319893843765
sgRNA_128,27.4554400920968,35.68902506624585,6.994638625801333
sgRNA_129,21.85995350465224,30.625775471563607,4.705785660946335
sgRNA_130,24.233319867865156,33.26721139083812,7.204177531554755
sgRNA_131,36.41424152020612,39.50724255683179,3.957065280732102
sgRNA_132,35.31649972166291,38.85104455794493,3.2232869352922258
sgRNA_133,32.22574238974965,41.057203661321914,5.491683017236882
sgRNA_134,33.00999828975567,37.02893997970269,3.1743124309735555
sgRNA_135,22.4795812216967,32.99240686887826,7.393792991287322
sgRNA_136,23.2611459754332,27.83963611194478,6.607826317030155
sgRNA_137,34.53213864994814,40.5043119445067,3.8905178900384225
sgRNA_138,11.579547285506653,20.35202527863834,4.70066703554079
sgRNA_139,36.62907403836599,38.4759155470655,1.6279279867060938
sgRNA_140,15.10751366589803,21.82259082359606,5.480979199205007
sgRNA_141,34.03927942907439,37.984775800805174,2.925912076696639
sgRNA_142,19.22681464931993,34.09977747437453,8.629075935135148
sgRNA_143,35.27285368834398,39.026604157679905,2.7993147097497757
sgRNA_144,27.15375708595023,34.23185267400819,6.449698707709383
sgRNA_145,19.222381987330493,35.390304914002606,10.75373863218702
sgRNA_146,37.79595966101795,42.88852141691164,3.5752121457886825
sgRNA_147,24.218324349239445,36.69622820169512,7.446471426552057
sgRNA_148,36.31632506260578,38.48482608189875,2.169081774241014
sgRNA_149,29.32670915397364,37.6977350974904,4.746704695376281
sgRNA_150,34.46429925748129,39.1290694643397,2.955749696384716
